Customer_ID,Customer,Segment,Industry,Region,Subregion,Country,City
1017,Chevron,Smb,Energy,EMEA,UKIR,Ireland,Dublin
1056,Phillips 66,Strategic,Energy,AMER,NAMER,United States,New York City
1031,Royal Dutch Shell,Smb,Energy,EMEA,EU-WEST,Germany,Stuttgart
1065,Bnp Paribas,Smb,Finance,AMER,NAMER,United States,New York City
1062,Engie,Smb,Energy,EMEA,NOR,Sweden,Stockholm
1066,Microsoft,Smb,Tech,AMER,NAMER,Canada,Toronto
1074,Pfizer,Enterprise,Healthcare,APJ,JAPN,Japan,Saitama
1087,Toyota Motor,Smb,Manufacturing,EMEA,EU,Italy,Naples
1047,Home Depot,Smb,Retail,EMEA,MEA,Turkey,Ankara
1099,Wells Fargo,Smb,Finance,AMER,NAMER,United States,Los Angeles
1048,Carrefour,Strategic,Retail,AMER,LATAM,Costa Rica,San José
1025,Costco Wholesale,Smb,Retail,EMEA,EU-WEST,France,Paris
1063,Mckesson,Smb,Consumer Products,EMEA,MEA,Turkey,Istanbul
1043,Siemens,Smb,Manufacturing,AMER,NAMER,United States,New York City
1051,Intel,Smb,Tech,EMEA,EU-WEST,France,Paris
1083,Glencore,Enterprise,Other,APJ,JAPN,Japan,Tokyo
1077,Procter & Gamble,Strategic,Consumer Products,APJ,JAPN,Japan,Aichi
1101,Banco Santander,Enterprise,Finance,APJ,JAPN,Japan,Tokyo
1058,Pemex,Strategic,Energy,APJ,ANZ,Australia,Wollongong
1015,Samsung Electronics,Strategic,Tech,EMEA,EU-WEST,Germany,Hanover
1028,Sony,Strategic,Tech,EMEA,EU-WEST,Luxembourg,Luxembourg
1068,Morgan Stanley,Smb,Finance,AMER,LATAM,Brazil,Salvador
1011,Bank Of America Corp.,Smb,Finance,APJ,APAC,Philippines,Davao City
1059,Tesco,Strategic,Retail,EMEA,UKIR,United Kingdom,London
1006,Aviva,Smb,Finance,EMEA,UKIR,United Kingdom,Brighton
1067,Mondelez International,Smb,Consumer Products,AMER,NAMER,United States,New York City
1001,Abbott Laboratories,Enterprise,Healthcare,APJ,ANZ,Australia,Sydney
1035,Fannie Mae,Smb,Finance,EMEA,EU-WEST,Spain,Madrid
1002,Aetna,Smb,Healthcare,EMEA,UKIR,United Kingdom,London
1072,Oracle,Smb,Tech,EMEA,MEA,South Africa,Cape Town
1098,Nissan Motor,Strategic,Transportation,APJ,JAPN,Japan,Tokyo
1088,Tyson Foods,Strategic,Consumer Products,EMEA,EU-WEST,Portugal,Lisboa
1094,Verizon Communications,Smb,Communications,AMER,NAMER,United States,Los Angeles
1032,Itochu,Strategic,Finance,EMEA,NOR,Sweden,Uppsala
1052,Daimler,Smb,Transportation,EMEA,EU-WEST,Luxembourg,Luxembourg
1095,Walgreens,Enterprise,Retail,EMEA,EU-WEST,Belgium,Brussels
1014,Boeing,Enterprise,Manufacturing,EMEA,UKIR,United Kingdom,London
1093,Valero Energy,Smb,Energy,AMER,NAMER,United States,Los Angeles
1089,Nestle,Strategic,Consumer Products,EMEA,EU-WEST,Luxembourg,Luxembourg
1075,Philip Morris International,Enterprise,Consumer Products,APJ,ANZ,Australia,Sydney
1100,Trafigura Group,Smb,Finance,EMEA,EU-WEST,Luxembourg,Luxembourg
1096,Walmart,Smb,Retail,EMEA,EU-EAST,Russia,Moscow
1019,Cisco Systems,Smb,Tech,EMEA,NOR,Sweden,Stockholm
1078,Prudential Financial,Strategic,Finance,EMEA,UKIR,United Kingdom,London
1004,Amazon,Smb,Tech,AMER,LATAM,Mexico,Mexico City
1027,Gazprom,Strategic,Energy,EMEA,MEA,South Africa,Cape Town
1036,Fedex,Enterprise,Transportation,APJ,JAPN,Japan,Tokyo
1045,Honda Motor,Smb,Manufacturing,AMER,LATAM,Chile,Santiago
1026,Cvs Health,Smb,Retail,AMER,NAMER,United States,Aurora
1041,General Motors,Strategic,Manufacturing,EMEA,EU-WEST,France,Paris
1082,State Farm Insurance Cos.,Strategic,Finance,AMER,NAMER,United States,Los Angeles
